Year,Units,display,age,Bundesland,GeoCode,Value
1995,percentage (%),a) time series,adults (15 years and older),hh,code02,33.61
1996,percentage (%),a) time series,adults (15 years and older),hh,code02,
1997,percentage (%),a) time series,adults (15 years and older),hh,code02,
1998,percentage (%),a) time series,adults (15 years and older),hh,code02,
1999,percentage (%),a) time series,adults (15 years and older),hh,code02,32.79
2000,percentage (%),a) time series,adults (15 years and older),hh,code02,
2001,percentage (%),a) time series,adults (15 years and older),hh,code02,
2002,percentage (%),a) time series,adults (15 years and older),hh,code02,
2003,percentage (%),a) time series,adults (15 years and older),hh,code02,30.95
2004,percentage (%),a) time series,adults (15 years and older),hh,code02,
2005,percentage (%),a) time series,adults (15 years and older),hh,code02,29.8
2006,percentage (%),a) time series,adults (15 years and older),hh,code02,
2007,percentage (%),a) time series,adults (15 years and older),hh,code02,
2008,percentage (%),a) time series,adults (15 years and older),hh,code02,
2009,percentage (%),a) time series,adults (15 years and older),hh,code02,26.7
2010,percentage (%),a) time series,adults (15 years and older),hh,code02,
2011,percentage (%),a) time series,adults (15 years and older),hh,code02,
2012,percentage (%),a) time series,adults (15 years and older),hh,code02,
2013,percentage (%),a) time series,adults (15 years and older),hh,code02,25.64
2014,percentage (%),a) time series,adults (15 years and older),hh,code02,
2015,percentage (%),a) time series,adults (15 years and older),hh,code02,
2016,percentage (%),a) time series,adults (15 years and older),hh,code02,
2017,percentage (%),a) time series,adults (15 years and older),hh,code02,23.14
2018,percentage (%),a) time series,adults (15 years and older),hh,code02,
2019,percentage (%),a) time series,adults (15 years and older),hh,code02,
2030,percentage (%),a) time series,adults (15 years and older),hh,code02,
1995,percentage (%),a) time series,adults (15 years and older),he,code06,25.75
1996,percentage (%),a) time series,adults (15 years and older),he,code06,
1997,percentage (%),a) time series,adults (15 years and older),he,code06,
1998,percentage (%),a) time series,adults (15 years and older),he,code06,
1999,percentage (%),a) time series,adults (15 years and older),he,code06,28.01
2000,percentage (%),a) time series,adults (15 years and older),he,code06,
2001,percentage (%),a) time series,adults (15 years and older),he,code06,
2002,percentage (%),a) time series,adults (15 years and older),he,code06,
2003,percentage (%),a) time series,adults (15 years and older),he,code06,27.15
2004,percentage (%),a) time series,adults (15 years and older),he,code06,
2005,percentage (%),a) time series,adults (15 years and older),he,code06,25.9
2006,percentage (%),a) time series,adults (15 years and older),he,code06,
2007,percentage (%),a) time series,adults (15 years and older),he,code06,
2008,percentage (%),a) time series,adults (15 years and older),he,code06,
2009,percentage (%),a) time series,adults (15 years and older),he,code06,24.6
2010,percentage (%),a) time series,adults (15 years and older),he,code06,
2011,percentage (%),a) time series,adults (15 years and older),he,code06,
2012,percentage (%),a) time series,adults (15 years and older),he,code06,
2013,percentage (%),a) time series,adults (15 years and older),he,code06,23.37
2014,percentage (%),a) time series,adults (15 years and older),he,code06,
2015,percentage (%),a) time series,adults (15 years and older),he,code06,
2016,percentage (%),a) time series,adults (15 years and older),he,code06,
2017,percentage (%),a) time series,adults (15 years and older),he,code06,21.11
2018,percentage (%),a) time series,adults (15 years and older),he,code06,
2019,percentage (%),a) time series,adults (15 years and older),he,code06,
2030,percentage (%),a) time series,adults (15 years and older),he,code06,
1995,percentage (%),a) time series,adults (15 years and older),mv,code13,28.61
1996,percentage (%),a) time series,adults (15 years and older),mv,code13,
1997,percentage (%),a) time series,adults (15 years and older),mv,code13,
1998,percentage (%),a) time series,adults (15 years and older),mv,code13,
1999,percentage (%),a) time series,adults (15 years and older),mv,code13,32.11
2000,percentage (%),a) time series,adults (15 years and older),mv,code13,
2001,percentage (%),a) time series,adults (15 years and older),mv,code13,
2002,percentage (%),a) time series,adults (15 years and older),mv,code13,
2003,percentage (%),a) time series,adults (15 years and older),mv,code13,30.61
2004,percentage (%),a) time series,adults (15 years and older),mv,code13,
2005,percentage (%),a) time series,adults (15 years and older),mv,code13,33.3
2006,percentage (%),a) time series,adults (15 years and older),mv,code13,
2007,percentage (%),a) time series,adults (15 years and older),mv,code13,
2008,percentage (%),a) time series,adults (15 years and older),mv,code13,
2009,percentage (%),a) time series,adults (15 years and older),mv,code13,30.4
2010,percentage (%),a) time series,adults (15 years and older),mv,code13,
2011,percentage (%),a) time series,adults (15 years and older),mv,code13,
2012,percentage (%),a) time series,adults (15 years and older),mv,code13,
2013,percentage (%),a) time series,adults (15 years and older),mv,code13,28.22
2014,percentage (%),a) time series,adults (15 years and older),mv,code13,
2015,percentage (%),a) time series,adults (15 years and older),mv,code13,
2016,percentage (%),a) time series,adults (15 years and older),mv,code13,
2017,percentage (%),a) time series,adults (15 years and older),mv,code13,27.66
2018,percentage (%),a) time series,adults (15 years and older),mv,code13,
2019,percentage (%),a) time series,adults (15 years and older),mv,code13,
2030,percentage (%),a) time series,adults (15 years and older),mv,code13,
1995,percentage (%),a) time series,adults (15 years and older),ni,code03,27.1
1996,percentage (%),a) time series,adults (15 years and older),ni,code03,
1997,percentage (%),a) time series,adults (15 years and older),ni,code03,
1998,percentage (%),a) time series,adults (15 years and older),ni,code03,
1999,percentage (%),a) time series,adults (15 years and older),ni,code03,28.8
2000,percentage (%),a) time series,adults (15 years and older),ni,code03,
2001,percentage (%),a) time series,adults (15 years and older),ni,code03,
2002,percentage (%),a) time series,adults (15 years and older),ni,code03,
2003,percentage (%),a) time series,adults (15 years and older),ni,code03,28.44
2004,percentage (%),a) time series,adults (15 years and older),ni,code03,
2005,percentage (%),a) time series,adults (15 years and older),ni,code03,28.1
2006,percentage (%),a) time series,adults (15 years and older),ni,code03,
2007,percentage (%),a) time series,adults (15 years and older),ni,code03,
2008,percentage (%),a) time series,adults (15 years and older),ni,code03,
2009,percentage (%),a) time series,adults (15 years and older),ni,code03,26.1
2010,percentage (%),a) time series,adults (15 years and older),ni,code03,
2011,percentage (%),a) time series,adults (15 years and older),ni,code03,
2012,percentage (%),a) time series,adults (15 years and older),ni,code03,
2013,percentage (%),a) time series,adults (15 years and older),ni,code03,24.69
2014,percentage (%),a) time series,adults (15 years and older),ni,code03,
2015,percentage (%),a) time series,adults (15 years and older),ni,code03,
2016,percentage (%),a) time series,adults (15 years and older),ni,code03,
2017,percentage (%),a) time series,adults (15 years and older),ni,code03,22.94
2018,percentage (%),a) time series,adults (15 years and older),ni,code03,
2019,percentage (%),a) time series,adults (15 years and older),ni,code03,
2030,percentage (%),a) time series,adults (15 years and older),ni,code03,
1995,percentage (%),a) time series,adults (15 years and older),nw,code05,28.34
1996,percentage (%),a) time series,adults (15 years and older),nw,code05,
1997,percentage (%),a) time series,adults (15 years and older),nw,code05,
1998,percentage (%),a) time series,adults (15 years and older),nw,code05,
1999,percentage (%),a) time series,adults (15 years and older),nw,code05,28.47
2000,percentage (%),a) time series,adults (15 years and older),nw,code05,
2001,percentage (%),a) time series,adults (15 years and older),nw,code05,
2002,percentage (%),a) time series,adults (15 years and older),nw,code05,
2003,percentage (%),a) time series,adults (15 years and older),nw,code05,27.63
2004,percentage (%),a) time series,adults (15 years and older),nw,code05,
2005,percentage (%),a) time series,adults (15 years and older),nw,code05,29.0
2006,percentage (%),a) time series,adults (15 years and older),nw,code05,
2007,percentage (%),a) time series,adults (15 years and older),nw,code05,
2008,percentage (%),a) time series,adults (15 years and older),nw,code05,
2009,percentage (%),a) time series,adults (15 years and older),nw,code05,26.9
2010,percentage (%),a) time series,adults (15 years and older),nw,code05,
2011,percentage (%),a) time series,adults (15 years and older),nw,code05,
2012,percentage (%),a) time series,adults (15 years and older),nw,code05,
2013,percentage (%),a) time series,adults (15 years and older),nw,code05,25.92
2014,percentage (%),a) time series,adults (15 years and older),nw,code05,
2015,percentage (%),a) time series,adults (15 years and older),nw,code05,
2016,percentage (%),a) time series,adults (15 years and older),nw,code05,
2017,percentage (%),a) time series,adults (15 years and older),nw,code05,22.64
2018,percentage (%),a) time series,adults (15 years and older),nw,code05,
2019,percentage (%),a) time series,adults (15 years and older),nw,code05,
2030,percentage (%),a) time series,adults (15 years and older),nw,code05,
1995,percentage (%),a) time series,adults (15 years and older),rp,code07,25.41
1996,percentage (%),a) time series,adults (15 years and older),rp,code07,
1997,percentage (%),a) time series,adults (15 years and older),rp,code07,
1998,percentage (%),a) time series,adults (15 years and older),rp,code07,
1999,percentage (%),a) time series,adults (15 years and older),rp,code07,29.02
2000,percentage (%),a) time series,adults (15 years and older),rp,code07,
2001,percentage (%),a) time series,adults (15 years and older),rp,code07,
2002,percentage (%),a) time series,adults (15 years and older),rp,code07,
2003,percentage (%),a) time series,adults (15 years and older),rp,code07,27.59
2004,percentage (%),a) time series,adults (15 years and older),rp,code07,
2005,percentage (%),a) time series,adults (15 years and older),rp,code07,26.0
2006,percentage (%),a) time series,adults (15 years and older),rp,code07,
2007,percentage (%),a) time series,adults (15 years and older),rp,code07,
2008,percentage (%),a) time series,adults (15 years and older),rp,code07,
2009,percentage (%),a) time series,adults (15 years and older),rp,code07,25.1
2010,percentage (%),a) time series,adults (15 years and older),rp,code07,
2011,percentage (%),a) time series,adults (15 years and older),rp,code07,
2012,percentage (%),a) time series,adults (15 years and older),rp,code07,
2013,percentage (%),a) time series,adults (15 years and older),rp,code07,23.86
2014,percentage (%),a) time series,adults (15 years and older),rp,code07,
2015,percentage (%),a) time series,adults (15 years and older),rp,code07,
2016,percentage (%),a) time series,adults (15 years and older),rp,code07,
2017,percentage (%),a) time series,adults (15 years and older),rp,code07,21.66
2018,percentage (%),a) time series,adults (15 years and older),rp,code07,
2019,percentage (%),a) time series,adults (15 years and older),rp,code07,
2030,percentage (%),a) time series,adults (15 years and older),rp,code07,
1995,percentage (%),a) time series,adults (15 years and older),sl,code10,27.55
1996,percentage (%),a) time series,adults (15 years and older),sl,code10,
1997,percentage (%),a) time series,adults (15 years and older),sl,code10,
1998,percentage (%),a) time series,adults (15 years and older),sl,code10,
1999,percentage (%),a) time series,adults (15 years and older),sl,code10,28.45
2000,percentage (%),a) time series,adults (15 years and older),sl,code10,
2001,percentage (%),a) time series,adults (15 years and older),sl,code10,
2002,percentage (%),a) time series,adults (15 years and older),sl,code10,
2003,percentage (%),a) time series,adults (15 years and older),sl,code10,25.19
2004,percentage (%),a) time series,adults (15 years and older),sl,code10,
2005,percentage (%),a) time series,adults (15 years and older),sl,code10,26.2
2006,percentage (%),a) time series,adults (15 years and older),sl,code10,
2007,percentage (%),a) time series,adults (15 years and older),sl,code10,
2008,percentage (%),a) time series,adults (15 years and older),sl,code10,
2009,percentage (%),a) time series,adults (15 years and older),sl,code10,25.3
2010,percentage (%),a) time series,adults (15 years and older),sl,code10,
2011,percentage (%),a) time series,adults (15 years and older),sl,code10,
2012,percentage (%),a) time series,adults (15 years and older),sl,code10,
2013,percentage (%),a) time series,adults (15 years and older),sl,code10,23.51
2014,percentage (%),a) time series,adults (15 years and older),sl,code10,
2015,percentage (%),a) time series,adults (15 years and older),sl,code10,
2016,percentage (%),a) time series,adults (15 years and older),sl,code10,
2017,percentage (%),a) time series,adults (15 years and older),sl,code10,20.59
2018,percentage (%),a) time series,adults (15 years and older),sl,code10,
2019,percentage (%),a) time series,adults (15 years and older),sl,code10,
2030,percentage (%),a) time series,adults (15 years and older),sl,code10,
1995,percentage (%),a) time series,adults (15 years and older),sn,code14,21.7
1996,percentage (%),a) time series,adults (15 years and older),sn,code14,
1997,percentage (%),a) time series,adults (15 years and older),sn,code14,
1998,percentage (%),a) time series,adults (15 years and older),sn,code14,
1999,percentage (%),a) time series,adults (15 years and older),sn,code14,24.45
2000,percentage (%),a) time series,adults (15 years and older),sn,code14,
2001,percentage (%),a) time series,adults (15 years and older),sn,code14,
2002,percentage (%),a) time series,adults (15 years and older),sn,code14,
2003,percentage (%),a) time series,adults (15 years and older),sn,code14,24.92
2004,percentage (%),a) time series,adults (15 years and older),sn,code14,
2005,percentage (%),a) time series,adults (15 years and older),sn,code14,24.4
2006,percentage (%),a) time series,adults (15 years and older),sn,code14,
2007,percentage (%),a) time series,adults (15 years and older),sn,code14,
2008,percentage (%),a) time series,adults (15 years and older),sn,code14,
2009,percentage (%),a) time series,adults (15 years and older),sn,code14,23.8
2010,percentage (%),a) time series,adults (15 years and older),sn,code14,
2011,percentage (%),a) time series,adults (15 years and older),sn,code14,
2012,percentage (%),a) time series,adults (15 years and older),sn,code14,
2013,percentage (%),a) time series,adults (15 years and older),sn,code14,22.74
2014,percentage (%),a) time series,adults (15 years and older),sn,code14,
2015,percentage (%),a) time series,adults (15 years and older),sn,code14,
2016,percentage (%),a) time series,adults (15 years and older),sn,code14,
