Year,Units,display,sex,Bundesland,GeoCode,Value
1999,per 100 000 inhabitants,a) time series,female,bw,code08,168.1
2000,per 100 000 inhabitants,a) time series,female,bw,code08,158.2
2001,per 100 000 inhabitants,a) time series,female,bw,code08,159.7
2002,per 100 000 inhabitants,a) time series,female,bw,code08,153.8
2003,per 100 000 inhabitants,a) time series,female,bw,code08,153.7
2004,per 100 000 inhabitants,a) time series,female,bw,code08,145.1
2005,per 100 000 inhabitants,a) time series,female,bw,code08,144.0
2006,per 100 000 inhabitants,a) time series,female,bw,code08,136.7
2007,per 100 000 inhabitants,a) time series,female,bw,code08,137.2
2008,per 100 000 inhabitants,a) time series,female,bw,code08,137.8
2009,per 100 000 inhabitants,a) time series,female,bw,code08,135.1
2010,per 100 000 inhabitants,a) time series,female,bw,code08,135.6
2011,per 100 000 inhabitants,a) time series,female,bw,code08,135.0
2012,per 100 000 inhabitants,a) time series,female,bw,code08,130.2
2013,per 100 000 inhabitants,a) time series,female,bw,code08,135.1
2014,per 100 000 inhabitants,a) time series,female,bw,code08,128.6
2015,per 100 000 inhabitants,a) time series,female,bw,code08,132.9
1998,per 100 000 inhabitants,a) time series,female,by,code09,182.0
1999,per 100 000 inhabitants,a) time series,female,by,code09,177.3
2000,per 100 000 inhabitants,a) time series,female,by,code09,173.9
2001,per 100 000 inhabitants,a) time series,female,by,code09,167.9
2002,per 100 000 inhabitants,a) time series,female,by,code09,164.6
2003,per 100 000 inhabitants,a) time series,female,by,code09,162.1
2004,per 100 000 inhabitants,a) time series,female,by,code09,152.8
2005,per 100 000 inhabitants,a) time series,female,by,code09,155.2
2006,per 100 000 inhabitants,a) time series,female,by,code09,149.3
2007,per 100 000 inhabitants,a) time series,female,by,code09,147.5
2008,per 100 000 inhabitants,a) time series,female,by,code09,148.5
2009,per 100 000 inhabitants,a) time series,female,by,code09,146.2
2010,per 100 000 inhabitants,a) time series,female,by,code09,142.4
2011,per 100 000 inhabitants,a) time series,female,by,code09,146.6
2012,per 100 000 inhabitants,a) time series,female,by,code09,141.1
2013,per 100 000 inhabitants,a) time series,female,by,code09,141.5
2014,per 100 000 inhabitants,a) time series,female,by,code09,134.2
2015,per 100 000 inhabitants,a) time series,female,by,code09,138.8
1998,per 100 000 inhabitants,a) time series,female,hb,code04,218.3
1999,per 100 000 inhabitants,a) time series,female,hb,code04,201.0
2000,per 100 000 inhabitants,a) time series,female,hb,code04,218.1
2001,per 100 000 inhabitants,a) time series,female,hb,code04,205.3
2002,per 100 000 inhabitants,a) time series,female,hb,code04,208.9
2003,per 100 000 inhabitants,a) time series,female,hb,code04,191.8
2004,per 100 000 inhabitants,a) time series,female,hb,code04,204.7
2005,per 100 000 inhabitants,a) time series,female,hb,code04,188.3
2006,per 100 000 inhabitants,a) time series,female,hb,code04,188.4
2007,per 100 000 inhabitants,a) time series,female,hb,code04,188.7
2008,per 100 000 inhabitants,a) time series,female,hb,code04,192.0
2009,per 100 000 inhabitants,a) time series,female,hb,code04,196.0
2010,per 100 000 inhabitants,a) time series,female,hb,code04,174.5
2011,per 100 000 inhabitants,a) time series,female,hb,code04,190.6
2012,per 100 000 inhabitants,a) time series,female,hb,code04,190.6
2013,per 100 000 inhabitants,a) time series,female,hb,code04,187.1
2014,per 100 000 inhabitants,a) time series,female,hb,code04,184.9
2015,per 100 000 inhabitants,a) time series,female,hb,code04,179.6
1998,per 100 000 inhabitants,a) time series,female,he,code06,183.0
1999,per 100 000 inhabitants,a) time series,female,he,code06,184.3
2000,per 100 000 inhabitants,a) time series,female,he,code06,178.6
2001,per 100 000 inhabitants,a) time series,female,he,code06,174.6
2002,per 100 000 inhabitants,a) time series,female,he,code06,172.7
2003,per 100 000 inhabitants,a) time series,female,he,code06,166.1
2004,per 100 000 inhabitants,a) time series,female,he,code06,163.4
2005,per 100 000 inhabitants,a) time series,female,he,code06,157.2
2006,per 100 000 inhabitants,a) time series,female,he,code06,153.0
2007,per 100 000 inhabitants,a) time series,female,he,code06,155.0
2008,per 100 000 inhabitants,a) time series,female,he,code06,152.2
2009,per 100 000 inhabitants,a) time series,female,he,code06,152.3
2010,per 100 000 inhabitants,a) time series,female,he,code06,150.6
2011,per 100 000 inhabitants,a) time series,female,he,code06,155.8
2012,per 100 000 inhabitants,a) time series,female,he,code06,152.3
2013,per 100 000 inhabitants,a) time series,female,he,code06,151.1
2014,per 100 000 inhabitants,a) time series,female,he,code06,145.2
2015,per 100 000 inhabitants,a) time series,female,he,code06,145.9
1998,per 100 000 inhabitants,a) time series,female,hh,code02,207.1
1999,per 100 000 inhabitants,a) time series,female,hh,code02,210.0
2000,per 100 000 inhabitants,a) time series,female,hh,code02,202.6
2001,per 100 000 inhabitants,a) time series,female,hh,code02,195.0
2002,per 100 000 inhabitants,a) time series,female,hh,code02,196.3
2003,per 100 000 inhabitants,a) time series,female,hh,code02,186.7
2004,per 100 000 inhabitants,a) time series,female,hh,code02,190.9
2005,per 100 000 inhabitants,a) time series,female,hh,code02,178.1
2006,per 100 000 inhabitants,a) time series,female,hh,code02,178.4
2007,per 100 000 inhabitants,a) time series,female,hh,code02,176.7
2008,per 100 000 inhabitants,a) time series,female,hh,code02,167.2
2009,per 100 000 inhabitants,a) time series,female,hh,code02,177.6
2010,per 100 000 inhabitants,a) time series,female,hh,code02,160.2
2011,per 100 000 inhabitants,a) time series,female,hh,code02,172.4
2012,per 100 000 inhabitants,a) time series,female,hh,code02,170.8
2013,per 100 000 inhabitants,a) time series,female,hh,code02,167.0
2014,per 100 000 inhabitants,a) time series,female,hh,code02,162.5
2015,per 100 000 inhabitants,a) time series,female,hh,code02,171.9
1998,per 100 000 inhabitants,a) time series,female,mv,code13,218.8
1999,per 100 000 inhabitants,a) time series,female,mv,code13,203.4
2000,per 100 000 inhabitants,a) time series,female,mv,code13,201.9
2001,per 100 000 inhabitants,a) time series,female,mv,code13,190.2
2002,per 100 000 inhabitants,a) time series,female,mv,code13,190.0
2003,per 100 000 inhabitants,a) time series,female,mv,code13,176.5
2004,per 100 000 inhabitants,a) time series,female,mv,code13,167.8
2005,per 100 000 inhabitants,a) time series,female,mv,code13,169.6
2006,per 100 000 inhabitants,a) time series,female,mv,code13,161.9
2007,per 100 000 inhabitants,a) time series,female,mv,code13,157.7
2008,per 100 000 inhabitants,a) time series,female,mv,code13,164.5
2009,per 100 000 inhabitants,a) time series,female,mv,code13,155.9
2010,per 100 000 inhabitants,a) time series,female,mv,code13,159.6
2011,per 100 000 inhabitants,a) time series,female,mv,code13,162.5
2012,per 100 000 inhabitants,a) time series,female,mv,code13,151.3
2013,per 100 000 inhabitants,a) time series,female,mv,code13,164.3
2014,per 100 000 inhabitants,a) time series,female,mv,code13,148.8
2015,per 100 000 inhabitants,a) time series,female,mv,code13,159.1
1998,per 100 000 inhabitants,a) time series,female,ni,code03,192.0
1999,per 100 000 inhabitants,a) time series,female,ni,code03,191.1
2000,per 100 000 inhabitants,a) time series,female,ni,code03,186.4
2001,per 100 000 inhabitants,a) time series,female,ni,code03,181.6
2002,per 100 000 inhabitants,a) time series,female,ni,code03,181.2
2003,per 100 000 inhabitants,a) time series,female,ni,code03,178.8
2004,per 100 000 inhabitants,a) time series,female,ni,code03,168.3
2005,per 100 000 inhabitants,a) time series,female,ni,code03,168.5
2006,per 100 000 inhabitants,a) time series,female,ni,code03,166.8
2007,per 100 000 inhabitants,a) time series,female,ni,code03,161.1
2008,per 100 000 inhabitants,a) time series,female,ni,code03,165.7
2009,per 100 000 inhabitants,a) time series,female,ni,code03,164.9
2010,per 100 000 inhabitants,a) time series,female,ni,code03,161.4
2011,per 100 000 inhabitants,a) time series,female,ni,code03,165.6
2012,per 100 000 inhabitants,a) time series,female,ni,code03,158.4
2013,per 100 000 inhabitants,a) time series,female,ni,code03,166.0
2014,per 100 000 inhabitants,a) time series,female,ni,code03,158.7
2015,per 100 000 inhabitants,a) time series,female,ni,code03,158.3
1998,per 100 000 inhabitants,a) time series,female,nw,code05,198.8
1999,per 100 000 inhabitants,a) time series,female,nw,code05,195.1
2000,per 100 000 inhabitants,a) time series,female,nw,code05,193.6
2001,per 100 000 inhabitants,a) time series,female,nw,code05,188.9
2002,per 100 000 inhabitants,a) time series,female,nw,code05,187.4
2003,per 100 000 inhabitants,a) time series,female,nw,code05,185.5
2004,per 100 000 inhabitants,a) time series,female,nw,code05,178.5
2005,per 100 000 inhabitants,a) time series,female,nw,code05,176.2
2006,per 100 000 inhabitants,a) time series,female,nw,code05,170.6
2007,per 100 000 inhabitants,a) time series,female,nw,code05,171.7
2008,per 100 000 inhabitants,a) time series,female,nw,code05,172.8
2009,per 100 000 inhabitants,a) time series,female,nw,code05,171.0
2010,per 100 000 inhabitants,a) time series,female,nw,code05,171.6
2011,per 100 000 inhabitants,a) time series,female,nw,code05,168.7
2012,per 100 000 inhabitants,a) time series,female,nw,code05,166.5
2013,per 100 000 inhabitants,a) time series,female,nw,code05,172.5
2014,per 100 000 inhabitants,a) time series,female,nw,code05,164.2
2015,per 100 000 inhabitants,a) time series,female,nw,code05,169.9
1998,per 100 000 inhabitants,a) time series,female,rp,code07,189.5
1999,per 100 000 inhabitants,a) time series,female,rp,code07,183.8
2000,per 100 000 inhabitants,a) time series,female,rp,code07,184.8
2001,per 100 000 inhabitants,a) time series,female,rp,code07,176.9
2002,per 100 000 inhabitants,a) time series,female,rp,code07,179.4
2003,per 100 000 inhabitants,a) time series,female,rp,code07,172.9
2004,per 100 000 inhabitants,a) time series,female,rp,code07,171.5
2005,per 100 000 inhabitants,a) time series,female,rp,code07,168.6
2006,per 100 000 inhabitants,a) time series,female,rp,code07,161.6
2007,per 100 000 inhabitants,a) time series,female,rp,code07,165.4
2008,per 100 000 inhabitants,a) time series,female,rp,code07,162.1
2009,per 100 000 inhabitants,a) time series,female,rp,code07,163.7
2010,per 100 000 inhabitants,a) time series,female,rp,code07,155.6
2011,per 100 000 inhabitants,a) time series,female,rp,code07,162.4
2012,per 100 000 inhabitants,a) time series,female,rp,code07,153.4
2013,per 100 000 inhabitants,a) time series,female,rp,code07,161.1
2014,per 100 000 inhabitants,a) time series,female,rp,code07,153.6
2015,per 100 000 inhabitants,a) time series,female,rp,code07,150.1
1998,per 100 000 inhabitants,a) time series,female,sh,code01,197.1
1999,per 100 000 inhabitants,a) time series,female,sh,code01,196.9
2000,per 100 000 inhabitants,a) time series,female,sh,code01,195.2
2001,per 100 000 inhabitants,a) time series,female,sh,code01,190.1
2002,per 100 000 inhabitants,a) time series,female,sh,code01,180.4
2003,per 100 000 inhabitants,a) time series,female,sh,code01,184.3
2004,per 100 000 inhabitants,a) time series,female,sh,code01,182.9
2005,per 100 000 inhabitants,a) time series,female,sh,code01,173.9
2006,per 100 000 inhabitants,a) time series,female,sh,code01,168.6
2007,per 100 000 inhabitants,a) time series,female,sh,code01,163.2
2008,per 100 000 inhabitants,a) time series,female,sh,code01,170.3
2009,per 100 000 inhabitants,a) time series,female,sh,code01,170.0
2010,per 100 000 inhabitants,a) time series,female,sh,code01,170.7
2011,per 100 000 inhabitants,a) time series,female,sh,code01,168.8
2012,per 100 000 inhabitants,a) time series,female,sh,code01,174.0
2013,per 100 000 inhabitants,a) time series,female,sh,code01,163.3
2014,per 100 000 inhabitants,a) time series,female,sh,code01,164.7
2015,per 100 000 inhabitants,a) time series,female,sh,code01,161.3
1998,per 100 000 inhabitants,a) time series,female,sl,code10,209.5
1999,per 100 000 inhabitants,a) time series,female,sl,code10,215.6
2000,per 100 000 inhabitants,a) time series,female,sl,code10,211.6
2001,per 100 000 inhabitants,a) time series,female,sl,code10,203.6
2002,per 100 000 inhabitants,a) time series,female,sl,code10,195.3
2003,per 100 000 inhabitants,a) time series,female,sl,code10,206.2
2004,per 100 000 inhabitants,a) time series,female,sl,code10,199.3
2005,per 100 000 inhabitants,a) time series,female,sl,code10,182.3
2006,per 100 000 inhabitants,a) time series,female,sl,code10,186.4
2007,per 100 000 inhabitants,a) time series,female,sl,code10,182.4
2008,per 100 000 inhabitants,a) time series,female,sl,code10,190.0
2009,per 100 000 inhabitants,a) time series,female,sl,code10,187.3
2010,per 100 000 inhabitants,a) time series,female,sl,code10,186.1
2011,per 100 000 inhabitants,a) time series,female,sl,code10,188.7
2012,per 100 000 inhabitants,a) time series,female,sl,code10,175.3
2013,per 100 000 inhabitants,a) time series,female,sl,code10,176.6
2014,per 100 000 inhabitants,a) time series,female,sl,code10,181.6
2015,per 100 000 inhabitants,a) time series,female,sl,code10,180.4
1998,per 100 000 inhabitants,a) time series,female,sn,code14,190.9
1999,per 100 000 inhabitants,a) time series,female,sn,code14,184.4
2000,per 100 000 inhabitants,a) time series,female,sn,code14,177.1
2001,per 100 000 inhabitants,a) time series,female,sn,code14,168.8
2002,per 100 000 inhabitants,a) time series,female,sn,code14,165.1
2003,per 100 000 inhabitants,a) time series,female,sn,code14,160.1
2004,per 100 000 inhabitants,a) time series,female,sn,code14,151.4
2005,per 100 000 inhabitants,a) time series,female,sn,code14,154.2
2006,per 100 000 inhabitants,a) time series,female,sn,code14,148.4
2007,per 100 000 inhabitants,a) time series,female,sn,code14,146.5
2008,per 100 000 inhabitants,a) time series,female,sn,code14,141.1
2009,per 100 000 inhabitants,a) time series,female,sn,code14,141.9
2010,per 100 000 inhabitants,a) time series,female,sn,code14,136.1
2011,per 100 000 inhabitants,a) time series,female,sn,code14,138.6
2012,per 100 000 inhabitants,a) time series,female,sn,code14,138.9
2013,per 100 000 inhabitants,a) time series,female,sn,code14,141.8
2014,per 100 000 inhabitants,a) time series,female,sn,code14,133.1
2015,per 100 000 inhabitants,a) time series,female,sn,code14,139.0
1998,per 100 000 inhabitants,a) time series,female,st,code15,219.9
1999,per 100 000 inhabitants,a) time series,female,st,code15,202.1
2000,per 100 000 inhabitants,a) time series,female,st,code15,200.0
2001,per 100 000 inhabitants,a) time series,female,st,code15,193.4
2002,per 100 000 inhabitants,a) time series,female,st,code15,189.9
2003,per 100 000 inhabitants,a) time series,female,st,code15,177.6
2004,per 100 000 inhabitants,a) time series,female,st,code15,173.1
2005,per 100 000 inhabitants,a) time series,female,st,code15,177.9
2006,per 100 000 inhabitants,a) time series,female,st,code15,169.3
2007,per 100 000 inhabitants,a) time series,female,st,code15,160.8
2008,per 100 000 inhabitants,a) time series,female,st,code15,171.6
2009,per 100 000 inhabitants,a) time series,female,st,code15,166.8
2010,per 100 000 inhabitants,a) time series,female,st,code15,170.1
2011,per 100 000 inhabitants,a) time series,female,st,code15,166.8
2012,per 100 000 inhabitants,a) time series,female,st,code15,161.8
2013,per 100 000 inhabitants,a) time series,female,st,code15,167.0
2014,per 100 000 inhabitants,a) time series,female,st,code15,151.2
2015,per 100 000 inhabitants,a) time series,female,st,code15,168.0
1998,per 100 000 inhabitants,a) time series,female,th,code16,204.3
1999,per 100 000 inhabitants,a) time series,female,th,code16,190.9
2000,per 100 000 inhabitants,a) time series,female,th,code16,180.0
2001,per 100 000 inhabitants,a) time series,female,th,code16,176.2
2002,per 100 000 inhabitants,a) time series,female,th,code16,175.8
2003,per 100 000 inhabitants,a) time series,female,th,code16,170.5
2004,per 100 000 inhabitants,a) time series,female,th,code16,166.2
2005,per 100 000 inhabitants,a) time series,female,th,code16,153.1
2006,per 100 000 inhabitants,a) time series,female,th,code16,153.4
2007,per 100 000 inhabitants,a) time series,female,th,code16,152.2
2008,per 100 000 inhabitants,a) time series,female,th,code16,148.8
2009,per 100 000 inhabitants,a) time series,female,th,code16,152.1
2010,per 100 000 inhabitants,a) time series,female,th,code16,151.5
2011,per 100 000 inhabitants,a) time series,female,th,code16,149.4
2012,per 100 000 inhabitants,a) time series,female,th,code16,142.2
2013,per 100 000 inhabitants,a) time series,female,th,code16,137.1
2014,per 100 000 inhabitants,a) time series,female,th,code16,142.7
2015,per 100 000 inhabitants,a) time series,female,th,code16,146.0
1991,per 100 000 inhabitants,a) time series,male,,,491.9
1992,per 100 000 inhabitants,a) time series,male,,,476.2
1993,per 100 000 inhabitants,a) time series,male,,,471.5
1994,per 100 000 inhabitants,a) time series,male,,,461.0
1995,per 100 000 inhabitants,a) time series,male,,,451.4
1996,per 100 000 inhabitants,a) time series,male,,,439.4
1997,per 100 000 inhabitants,a) time series,male,,,422.0
1998,per 100 000 inhabitants,a) time series,male,,,404.3
1999,per 100 000 inhabitants,a) time series,male,,,391.7
2000,per 100 000 inhabitants,a) time series,male,,,381.8
2001,per 100 000 inhabitants,a) time series,male,,,366.5
2002,per 100 000 inhabitants,a) time series,male,,,360.0
2003,per 100 000 inhabitants,a) time series,male,,,355.5
2004,per 100 000 inhabitants,a) time series,male,,,337.3
2005,per 100 000 inhabitants,a) time series,male,,,329.4
2006,per 100 000 inhabitants,a) time series,male,,,318.4
2007,per 100 000 inhabitants,a) time series,male,,,312.9
2008,per 100 000 inhabitants,a) time series,male,,,307.8
2009,per 100 000 inhabitants,a) time series,male,,,304.8
2010,per 100 000 inhabitants,a) time series,male,,,300.6
2011,per 100 000 inhabitants,a) time series,male,,,298.7
2012,per 100 000 inhabitants,a) time series,male,,,292.3
2013,per 100 000 inhabitants,a) time series,male,,,291.9
2014,per 100 000 inhabitants,a) time series,male,,,281.2
2015,per 100 000 inhabitants,a) time series,male,,,288.1
2030,per 100 000 inhabitants,b) target (max),male,,,190.0
1998,per 100 000 inhabitants,a) time series,male,bb,code12,480.0
1999,per 100 000 inhabitants,a) time series,male,bb,code12,461.4
2000,per 100 000 inhabitants,a) time series,male,bb,code12,441.3
2001,per 100 000 inhabitants,a) time series,male,bb,code12,422.7
2002,per 100 000 inhabitants,a) time series,male,bb,code12,407.8
2003,per 100 000 inhabitants,a) time series,male,bb,code12,407.5
2004,per 100 000 inhabitants,a) time series,male,bb,code12,389.7
2005,per 100 000 inhabitants,a) time series,male,bb,code12,366.3
2006,per 100 000 inhabitants,a) time series,male,bb,code12,360.3
2007,per 100 000 inhabitants,a) time series,male,bb,code12,354.7
2008,per 100 000 inhabitants,a) time series,male,bb,code12,345.2
2009,per 100 000 inhabitants,a) time series,male,bb,code12,330.8
2010,per 100 000 inhabitants,a) time series,male,bb,code12,327.9
2011,per 100 000 inhabitants,a) time series,male,bb,code12,323.0
2012,per 100 000 inhabitants,a) time series,male,bb,code12,326.0
2013,per 100 000 inhabitants,a) time series,male,bb,code12,335.7
2014,per 100 000 inhabitants,a) time series,male,bb,code12,310.7
2015,per 100 000 inhabitants,a) time series,male,bb,code12,327.9
1998,per 100 000 inhabitants,a) time series,male,be,code11,421.3
1999,per 100 000 inhabitants,a) time series,male,be,code11,429.8
2000,per 100 000 inhabitants,a) time series,male,be,code11,406.2
2001,per 100 000 inhabitants,a) time series,male,be,code11,388.3
2002,per 100 000 inhabitants,a) time series,male,be,code11,384.1
2003,per 100 000 inhabitants,a) time series,male,be,code11,377.0
2004,per 100 000 inhabitants,a) time series,male,be,code11,357.9
2005,per 100 000 inhabitants,a) time series,male,be,code11,357.4
2006,per 100 000 inhabitants,a) time series,male,be,code11,347.6
2007,per 100 000 inhabitants,a) time series,male,be,code11,331.1
2008,per 100 000 inhabitants,a) time series,male,be,code11,335.6
2009,per 100 000 inhabitants,a) time series,male,be,code11,319.7
2010,per 100 000 inhabitants,a) time series,male,be,code11,321.2
2011,per 100 000 inhabitants,a) time series,male,be,code11,336.5
2012,per 100 000 inhabitants,a) time series,male,be,code11,319.2
2013,per 100 000 inhabitants,a) time series,male,be,code11,326.8
2014,per 100 000 inhabitants,a) time series,male,be,code11,321.5
2015,per 100 000 inhabitants,a) time series,male,be,code11,320.1
1998,per 100 000 inhabitants,a) time series,male,bw,code08,355.0
1999,per 100 000 inhabitants,a) time series,male,bw,code08,341.9
2000,per 100 000 inhabitants,a) time series,male,bw,code08,328.5
2001,per 100 000 inhabitants,a) time series,male,bw,code08,317.5
2002,per 100 000 inhabitants,a) time series,male,bw,code08,305.0
2003,per 100 000 inhabitants,a) time series,male,bw,code08,299.1
2004,per 100 000 inhabitants,a) time series,male,bw,code08,283.7
2005,per 100 000 inhabitants,a) time series,male,bw,code08,277.1
2006,per 100 000 inhabitants,a) time series,male,bw,code08,266.5
2007,per 100 000 inhabitants,a) time series,male,bw,code08,262.5
2008,per 100 000 inhabitants,a) time series,male,bw,code08,256.4
2009,per 100 000 inhabitants,a) time series,male,bw,code08,257.5
2010,per 100 000 inhabitants,a) time series,male,bw,code08,253.0
2011,per 100 000 inhabitants,a) time series,male,bw,code08,250.6
2012,per 100 000 inhabitants,a) time series,male,bw,code08,245.1
2013,per 100 000 inhabitants,a) time series,male,bw,code08,243.3
2014,per 100 000 inhabitants,a) time series,male,bw,code08,234.9
2015,per 100 000 inhabitants,a) time series,male,bw,code08,238.8
1998,per 100 000 inhabitants,a) time series,male,by,code09,380.9
1999,per 100 000 inhabitants,a) time series,male,by,code09,368.6
2000,per 100 000 inhabitants,a) time series,male,by,code09,358.5
2001,per 100 000 inhabitants,a) time series,male,by,code09,348.8
2002,per 100 000 inhabitants,a) time series,male,by,code09,340.3
2003,per 100 000 inhabitants,a) time series,male,by,code09,332.0
2004,per 100 000 inhabitants,a) time series,male,by,code09,314.3
2005,per 100 000 inhabitants,a) time series,male,by,code09,305.4
2006,per 100 000 inhabitants,a) time series,male,by,code09,300.7
2007,per 100 000 inhabitants,a) time series,male,by,code09,291.9
2008,per 100 000 inhabitants,a) time series,male,by,code09,284.5
2009,per 100 000 inhabitants,a) time series,male,by,code09,282.3
2010,per 100 000 inhabitants,a) time series,male,by,code09,277.5
2011,per 100 000 inhabitants,a) time series,male,by,code09,275.1
2012,per 100 000 inhabitants,a) time series,male,by,code09,267.3
2013,per 100 000 inhabitants,a) time series,male,by,code09,261.7
2014,per 100 000 inhabitants,a) time series,male,by,code09,249.9
2015,per 100 000 inhabitants,a) time series,male,by,code09,258.9
1998,per 100 000 inhabitants,a) time series,male,hb,code04,465.2
1999,per 100 000 inhabitants,a) time series,male,hb,code04,436.5
2000,per 100 000 inhabitants,a) time series,male,hb,code04,441.1
2001,per 100 000 inhabitants,a) time series,male,hb,code04,420.6
2002,per 100 000 inhabitants,a) time series,male,hb,code04,429.3
2003,per 100 000 inhabitants,a) time series,male,hb,code04,441.0
2004,per 100 000 inhabitants,a) time series,male,hb,code04,402.3
2005,per 100 000 inhabitants,a) time series,male,hb,code04,392.9
2006,per 100 000 inhabitants,a) time series,male,hb,code04,370.3
2007,per 100 000 inhabitants,a) time series,male,hb,code04,376.4
2008,per 100 000 inhabitants,a) time series,male,hb,code04,362.5
2009,per 100 000 inhabitants,a) time series,male,hb,code04,366.0
2010,per 100 000 inhabitants,a) time series,male,hb,code04,356.6
2011,per 100 000 inhabitants,a) time series,male,hb,code04,338.0
2012,per 100 000 inhabitants,a) time series,male,hb,code04,347.1
2013,per 100 000 inhabitants,a) time series,male,hb,code04,365.6
2014,per 100 000 inhabitants,a) time series,male,hb,code04,336.1
2015,per 100 000 inhabitants,a) time series,male,hb,code04,345.0
1998,per 100 000 inhabitants,a) time series,male,he,code06,372.3
1999,per 100 000 inhabitants,a) time series,male,he,code06,362.3
2000,per 100 000 inhabitants,a) time series,male,he,code06,350.2
2001,per 100 000 inhabitants,a) time series,male,he,code06,332.8
2002,per 100 000 inhabitants,a) time series,male,he,code06,330.7
2003,per 100 000 inhabitants,a) time series,male,he,code06,336.2
2004,per 100 000 inhabitants,a) time series,male,he,code06,311.4
2005,per 100 000 inhabitants,a) time series,male,he,code06,304.4
2006,per 100 000 inhabitants,a) time series,male,he,code06,287.0
2007,per 100 000 inhabitants,a) time series,male,he,code06,291.3
2008,per 100 000 inhabitants,a) time series,male,he,code06,289.7
2009,per 100 000 inhabitants,a) time series,male,he,code06,281.7
2010,per 100 000 inhabitants,a) time series,male,he,code06,274.4
2011,per 100 000 inhabitants,a) time series,male,he,code06,275.2
2012,per 100 000 inhabitants,a) time series,male,he,code06,266.5
2013,per 100 000 inhabitants,a) time series,male,he,code06,266.4
