Year,Units,display,title,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,data from destatis,nw,code05,1.0
2001,percentage (%),a) time series,data from destatis,nw,code05,1.5
2003,percentage (%),a) time series,data from destatis,nw,code05,2.5
2005,percentage (%),a) time series,data from destatis,nw,code05,2.8
2007,percentage (%),a) time series,data from destatis,nw,code05,3.26
2010,percentage (%),a) time series,data from destatis,nw,code05,3.64
2013,percentage (%),a) time series,data from destatis,nw,code05,4.19
2016,percentage (%),a) time series,data from destatis,nw,code05,4.22
1999,percentage (%),a) time series,data from destatis,rp,code07,1.6
2001,percentage (%),a) time series,data from destatis,rp,code07,2.2
2003,percentage (%),a) time series,data from destatis,rp,code07,2.4
2005,percentage (%),a) time series,data from destatis,rp,code07,2.7
2007,percentage (%),a) time series,data from destatis,rp,code07,3.6
2010,percentage (%),a) time series,data from destatis,rp,code07,5.1
2013,percentage (%),a) time series,data from destatis,rp,code07,6.41
2016,percentage (%),a) time series,data from destatis,rp,code07,8.73
1999,percentage (%),a) time series,data from destatis,sl,code10,6.3
2001,percentage (%),a) time series,data from destatis,sl,code10,5.4
2003,percentage (%),a) time series,data from destatis,sl,code10,6.7
2005,percentage (%),a) time series,data from destatis,sl,code10,7.8
2007,percentage (%),a) time series,data from destatis,sl,code10,9.06
2010,percentage (%),a) time series,data from destatis,sl,code10,10.57
2013,percentage (%),a) time series,data from destatis,sl,code10,11.42
2016,percentage (%),a) time series,data from destatis,sl,code10,14.89
1999,percentage (%),a) time series,data from destatis,sn,code14,1.5
2001,percentage (%),a) time series,data from destatis,sn,code14,2.6
2003,percentage (%),a) time series,data from destatis,sn,code14,3.4
2005,percentage (%),a) time series,data from destatis,sn,code14,3.4
2007,percentage (%),a) time series,data from destatis,sn,code14,3.49
2010,percentage (%),a) time series,data from destatis,sn,code14,3.68
2013,percentage (%),a) time series,data from destatis,sn,code14,3.79
2016,percentage (%),a) time series,data from destatis,sn,code14,4.59
1999,percentage (%),a) time series,data from destatis,st,code15,2.0
2001,percentage (%),a) time series,data from destatis,st,code15,2.6
2003,percentage (%),a) time series,data from destatis,st,code15,3.2
2005,percentage (%),a) time series,data from destatis,st,code15,4.2
2007,percentage (%),a) time series,data from destatis,st,code15,3.82
2010,percentage (%),a) time series,data from destatis,st,code15,4.23
2013,percentage (%),a) time series,data from destatis,st,code15,4.54
2016,percentage (%),a) time series,data from destatis,st,code15,4.97
1999,percentage (%),a) time series,data from destatis,sh,code01,1.5
2001,percentage (%),a) time series,data from destatis,sh,code01,1.9
2003,percentage (%),a) time series,data from destatis,sh,code01,2.2
2005,percentage (%),a) time series,data from destatis,sh,code01,2.8
2007,percentage (%),a) time series,data from destatis,sh,code01,2.94
2010,percentage (%),a) time series,data from destatis,sh,code01,3.32
2013,percentage (%),a) time series,data from destatis,sh,code01,3.4
2016,percentage (%),a) time series,data from destatis,sh,code01,4.04
1999,percentage (%),a) time series,data from destatis,th,code16,1.9
2001,percentage (%),a) time series,data from destatis,th,code16,2.1
2003,percentage (%),a) time series,data from destatis,th,code16,3.0
2005,percentage (%),a) time series,data from destatis,th,code16,3.1
2007,percentage (%),a) time series,data from destatis,th,code16,5.09
2010,percentage (%),a) time series,data from destatis,th,code16,4.36
2013,percentage (%),a) time series,data from destatis,th,code16,4.36
2016,percentage (%),a) time series,data from destatis,th,code16,4.31
